date_time,time,vel,acc,rel_vel,rel_pos,tfs
2025-06-26 14:12:40.782111883,1750947160.782112,0.0,0.0,-0.0625,13.90000057220459,0.0
2025-06-26 14:12:40.782197952,1750947160.782198,0.0,0.0,-0.0625,13.90000057220459,8.6069e-05
2025-06-26 14:12:40.782334089,1750947160.782334,0.0,0.0,-0.0625,13.90000057220459,0.000222206
2025-06-26 14:12:40.783670425,1750947160.7836704,0.0,0.0,-0.0625,13.90000057220459,0.001558542
2025-06-26 14:12:40.783843517,1750947160.7838435,0.0,0.0,-0.0625,13.90000057220459,0.001731634
2025-06-26 14:12:40.783985615,1750947160.7839856,0.0,0.0,-0.0625,13.90000057220459,0.001873732
2025-06-26 14:12:40.783993483,1750947160.7839935,0.0,0.0,-0.0625,13.90000057220459,0.0018816
2025-06-26 14:12:40.784065008,1750947160.784065,0.0,0.0,-0.0625,13.90000057220459,0.001953125
2025-06-26 14:12:40.784098387,1750947160.7840984,0.0,0.0,-0.0625,13.90000057220459,0.001986504
2025-06-26 14:12:40.784149647,1750947160.7841496,0.0,0.0,-0.0625,13.90000057220459,0.002037764
2025-06-26 14:12:40.784155846,1750947160.7841558,0.0,0.0,-0.0625,13.90000057220459,0.002043963
2025-06-26 14:12:40.784344196,1750947160.7843442,0.0,0.0,0.11907894736842106,13.90000057220459,0.002232313
2025-06-26 14:12:40.784350395,1750947160.7843504,0.0,0.0,0.125,13.90000057220459,0.002238512
2025-06-26 14:12:40.784363270,1750947160.7843633,0.0,0.0,0.125,13.90000057220459,0.002251387
2025-06-26 14:12:40.784558296,1750947160.7845583,0.0,0.0,0.125,13.90000057220459,0.002446413
2025-06-26 14:12:40.784564734,1750947160.7845647,0.0,0.0,0.125,13.90000057220459,0.002452851
2025-06-26 14:12:40.784603834,1750947160.7846038,0.0,0.0,0.125,13.914489125663584,0.002491951
2025-06-26 14:12:40.784687042,1750947160.784687,0.0,0.0,0.125,13.945265464710467,0.002575159
2025-06-26 14:12:40.784835100,1750947160.784835,0.0,0.0,0.125,14.0,0.002723217
2025-06-26 14:12:40.784841776,1750947160.7848418,0.0,0.0,0.125,13.99997826372008,0.002729893
2025-06-26 14:12:40.787367105,1750947160.787367,0.0,0.0,0.10958323956692421,13.991731017511814,0.005255222
2025-06-26 14:12:40.815456629,1750947160.8154566,0.0,0.0,-0.061890518340709605,13.90000057220459,0.033344746
2025-06-26 14:12:40.815556288,1750947160.8155563,0.0,0.0,-0.0625,13.90000057220459,0.033444405
2025-06-26 14:12:40.817181110,1750947160.817181,0.0,0.0,-0.0625,13.90000057220459,0.035069227
2025-06-26 14:12:40.834544897,1750947160.834545,0.0,0.0,-0.0625,13.90000057220459,0.052433014
2025-06-26 14:12:40.837987185,1750947160.8379872,0.0,0.0,-0.0625,13.90000057220459,0.055875302
2025-06-26 14:12:40.838316917,1750947160.838317,0.0,0.0,-0.0625,13.90000057220459,0.056205034
2025-06-26 14:12:40.877780914,1750947160.877781,0.0,0.0,-0.0625,13.90000057220459,0.095669031
2025-06-26 14:12:40.882509708,1750947160.8825097,0.0,0.0,-0.0625,13.90000057220459,0.100397825
2025-06-26 14:12:40.883323193,1750947160.8833232,0.0,0.0,-0.0625,13.90000057220459,0.10121131
2025-06-26 14:12:40.914061069,1750947160.914061,0.0,0.0,-0.11401379421597094,13.90000057220459,0.131949186
2025-06-26 14:12:40.917734861,1750947160.9177349,0.0,0.0,-0.1201708231223872,13.90000057220459,0.135622978
2025-06-26 14:12:40.920616388,1750947160.9206164,0.0,0.0,-0.125,13.90000057220459,0.138504505
2025-06-26 14:12:40.934942961,1750947160.934943,0.0,0.0,-0.125,13.90000057220459,0.152831078
2025-06-26 14:12:40.958085537,1750947160.9580855,0.0,0.0,-0.125,13.90000057220459,0.175973654
2025-06-26 14:12:40.958147764,1750947160.9581478,0.0,0.0,-0.125,13.90000057220459,0.176035881
2025-06-26 14:12:40.981865883,1750947160.981866,0.0,0.0,-0.125,13.90000057220459,0.199754
2025-06-26 14:12:40.997976780,1750947160.9979768,0.0,0.0,-0.125,13.90000057220459,0.215864897
2025-06-26 14:12:40.998341084,1750947160.998341,0.0,0.0,-0.125,13.90000057220459,0.216229201
2025-06-26 14:12:41.010282993,1750947161.010283,0.0,0.0,-0.125,13.90000057220459,0.22817111
2025-06-26 14:12:41.034003019,1750947161.034003,0.0,0.0,-0.125,13.90000057220459,0.251891136
2025-06-26 14:12:41.037775040,1750947161.037775,0.0,0.0,-0.125,13.90000057220459,0.255663157
2025-06-26 14:12:41.037960291,1750947161.0379603,0.0,0.0,-0.125,13.90000057220459,0.255848408
2025-06-26 14:12:41.077865362,1750947161.0778654,0.0,0.0,-0.125,13.90000057220459,0.295753479
2025-06-26 14:12:41.078021049,1750947161.078021,0.0,0.0,-0.125,13.90000057220459,0.295909166
2025-06-26 14:12:41.081899643,1750947161.0818996,0.0,0.0,-0.125,13.90000057220459,0.29978776
2025-06-26 14:12:41.110194206,1750947161.1101942,0.0,0.0,-0.125,13.90000057220459,0.328082323
2025-06-26 14:12:41.118051529,1750947161.1180515,0.0,0.0,-0.125,13.90000057220459,0.335939646
2025-06-26 14:12:41.118083715,1750947161.1180837,0.0,0.0,-0.125,13.90000057220459,0.335971832
2025-06-26 14:12:41.130012035,1750947161.130012,0.0,0.0,-0.125,13.90000057220459,0.347900152
2025-06-26 14:12:41.157757282,1750947161.1577573,0.0,0.0,-0.125,13.90000057220459,0.375645399
2025-06-26 14:12:41.157786369,1750947161.1577864,0.0,0.0,-0.125,13.90000057220459,0.375674486
