time,lat,long,vel,acc,rel_vel,rel_pos,date_time
1726891357.4598672,37.4976785,-122.31426966666666,28.69357681274414,0.0799999982118606,1.6875,66.4000015258789,2024-09-20 21:02:37.459867
1726891365.4597294,37.49886166666667,-122.31636083333332,28.53732681274414,0.1499999910593032,0.4375,75.70000457763672,2024-09-20 21:02:45.459729
1726891373.4577863,37.49990916666667,-122.31857433333332,28.476564407348633,0.0999999940395355,0.0625,81.5999984741211,2024-09-20 21:02:53.457786
1726891374.4559298,37.50003933333333,-122.31885416666668,28.51996612548828,-0.1899999976158142,-0.4375,81.80000305175781,2024-09-20 21:02:54.455929
1726891375.4604864,37.50013966666667,-122.3191575,28.58941078186035,-0.0999999940395355,0.0625,82.5999984741211,2024-09-20 21:02:55.460486
1726891376.4562025,37.500241333333335,-122.31945183333332,28.56770896911621,0.25,0.125,82.9000015258789,2024-09-20 21:02:56.456202
1726891377.459315,37.50032016666667,-122.3197715,28.55034828186035,0.2899999916553497,0.5,84.20000457763672,2024-09-20 21:02:57.459315
1726891378.457054,37.50039666666667,-122.32009016666666,28.554689407348633,-0.3199999928474426,0.625,85.0,2024-09-20 21:02:58.457053
1726891379.4562588,37.500469333333335,-122.32040616666669,28.541667938232425,-0.3899999856948852,0.375,85.30000305175781,2024-09-20 21:02:59.456258
1726891380.4567134,37.50053483333333,-122.32072083333334,28.58941078186035,0.25,0.5625,85.9000015258789,2024-09-20 21:03:00.456713
1726891381.4540532,37.500594666666665,-122.3210415,28.493925094604492,0.1400000005960464,0.875,87.80000305175781,2024-09-20 21:03:01.454053
1726891382.4557092,37.5006455,-122.32136683333331,28.60677146911621,-0.3799999952316284,1.3125,89.70000457763672,2024-09-20 21:03:02.455709
1726891383.4571595,37.500691,-122.3216895,28.59809112548828,-0.7999999523162842,0.625,89.70000457763672,2024-09-20 21:03:03.457159
1726891384.456979,37.500731,-122.322016,28.56770896911621,-0.0099999997764825,0.375,89.70000457763672,2024-09-20 21:03:04.456979
1726891385.456505,37.5007655,-122.322341,28.580730438232425,0.6699999570846558,1.5625,92.5999984741211,2024-09-20 21:03:05.456505
1726891386.4554808,37.500794,-122.3226665,28.49826431274414,0.0099999997764825,1.3125,93.5999984741211,2024-09-20 21:03:06.455480
1726891387.4568975,37.50081616666667,-122.3229935,28.64583396911621,-0.3899999856948852,0.625,92.8000030517578,2024-09-20 21:03:07.456897
1726891388.4530404,37.50083516666667,-122.32332233333334,28.572050094604492,-0.7199999690055847,0.1875,92.0999984741211,2024-09-20 21:03:08.453040
1726891389.445754,37.500853166666666,-122.3236505,28.48090362548828,-0.7199999690055847,0.6875,93.0999984741211,2024-09-20 21:03:09.445754
1726891390.446468,37.50087,-122.32398033333334,28.60243225097656,0.2899999916553497,0.875,94.20000457763672,2024-09-20 21:03:10.446468
1726891391.4467323,37.500888833333335,-122.32431066666666,28.52864646911621,0.0799999982118606,0.9375,95.3000030517578,2024-09-20 21:03:11.446732
1726891392.445614,37.50090516666667,-122.324639,28.532987594604492,-0.0199999995529651,0.875,95.70000457763672,2024-09-20 21:03:12.445614
1726891393.446957,37.500925333333335,-122.324964,28.53732681274414,-0.3299999833106994,0.5625,95.4000015258789,2024-09-20 21:03:13.446957
1726891394.4467523,37.50094466666667,-122.32529066666666,28.62847328186035,0.0299999993294477,0.0,94.3000030517578,2024-09-20 21:03:14.446752
1726891395.446344,37.50096216666667,-122.32561666666666,28.63715362548828,0.4899999797344208,0.3125,94.70000457763672,2024-09-20 21:03:15.446343
1726891396.4467363,37.5009825,-122.325942,28.56336975097656,0.0399999991059303,0.4375,95.8000030517578,2024-09-20 21:03:16.446736
1726891397.4504013,37.501014166666664,-122.3262665,28.71527862548828,-0.5600000023841858,0.0625,95.0999984741211,2024-09-20 21:03:17.450401
1726891398.4474506,37.5010585,-122.326588,28.697917938232425,0.0999999940395355,0.3125,95.70000457763672,2024-09-20 21:03:18.447450
1726891399.5470555,37.50110383333333,-122.32690916666668,28.702259063720703,-0.1799999922513961,0.625,96.5,2024-09-20 21:03:19.547055
1726891400.6470628,37.50115683333333,-122.32722816666669,28.710939407348633,-0.1799999922513961,1.1875,97.70000457763672,2024-09-20 21:03:20.647062
1726891401.6470156,37.501217,-122.32754483333332,28.71527862548828,0.7400000095367432,1.6875,99.5999984741211,2024-09-20 21:03:21.647015
1726891402.647045,37.501291,-122.32785783333334,28.780384063720703,-0.2899999916553497,1.125,99.8000030517578,2024-09-20 21:03:22.647044
1726891403.6474288,37.501373666666666,-122.32816866666668,28.789064407348633,-0.0299999993294477,1.0,100.9000015258789,2024-09-20 21:03:23.647428
1726891404.6473217,37.501462333333336,-122.3284765,28.815105438232425,-0.0299999993294477,1.1875,101.9000015258789,2024-09-20 21:03:24.647321
1726891405.647141,37.50155433333333,-122.328783,28.88020896911621,0.0799999982118606,0.5,101.4000015258789,2024-09-20 21:03:25.647140
1726891406.6474252,37.50166466666667,-122.32908316666666,28.867189407348633,0.2299999892711639,0.625,103.0,2024-09-20 21:03:26.647425
1726891407.6467867,37.50177333333333,-122.32938033333332,28.780384063720703,-0.0099999997764825,0.0625,101.9000015258789,2024-09-20 21:03:27.646786
1726891408.6473904,37.50189483333333,-122.3296705,28.697917938232425,-0.0299999993294477,-0.0625,101.0,2024-09-20 21:03:28.647390
1726891409.6473458,37.5020215,-122.32995666666666,28.60243225097656,-0.1299999952316284,-0.3125,100.20000457763672,2024-09-20 21:03:29.647345
