time,lat,long,vel,acc,rel_vel,rel_pos,date_time,acc_change,vel_change,is_oscillating,is_wave,num_oscillations
1720234723.4934464,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.493446,0.0,0.0,False,False,0.0
1720234723.5136778,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.513677,0.0,0.0,False,False,0.0
1720234723.5175788,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.517578,0.0,0.0,False,False,0.0
1720234723.5215025,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.521502,0.0,0.0,False,False,0.0
1720234723.5575612,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.557561,0.0,0.0,False,False,0.0
1720234723.5615864,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.561586,0.0,0.0,False,False,0.0
1720234723.5656312,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.565631,0.0,0.0,False,False,0.0
1720234723.5934918,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.593491,0.0,0.0,False,False,0.0
1720234723.5975554,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.597555,0.0,0.0,False,False,0.0
1720234723.601539,,,0.0,0.0,-0.0625,16.700000762939453,2024-07-05 19:58:43.601538,0.0,0.0,False,False,0.0
1720234723.613794,,,0.0,0.0,-0.0625,16.700000762939453,2024-07-05 19:58:43.613794,0.0,0.0,False,False,0.0
1720234723.6375446,,,0.0,0.0,-0.0625,16.700000762939453,2024-07-05 19:58:43.637544,0.0,0.0,False,False,0.0
1720234723.641519,,,0.0,0.0,-0.0625,16.700000762939453,2024-07-05 19:58:43.641519,0.0,0.0,False,False,0.0
1720234723.665633,,,0.0,0.0,-0.0625,16.700000762939453,2024-07-05 19:58:43.665632,0.0,0.0,False,False,0.0
1720234723.6775746,,,0.0,0.0,-0.0625,16.700000762939453,2024-07-05 19:58:43.677574,0.0,0.0,False,False,0.0
1720234723.6815438,,,0.0,0.0,-0.0625,16.700000762939453,2024-07-05 19:58:43.681543,0.0,0.0,False,False,0.0
1720234723.6935627,,,0.0,0.0,-0.0625,16.700000762939453,2024-07-05 19:58:43.693562,0.0,0.0,False,False,0.0
1720234723.7136316,,,0.0,0.0,-0.0625,16.700000762939453,2024-07-05 19:58:43.713631,0.0,0.0,False,False,0.0
1720234723.72156,,,0.0,0.0,-0.0625,16.700000762939453,2024-07-05 19:58:43.721560,0.0,0.0,False,False,0.0
1720234723.725634,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.725634,0.0,0.0,False,False,0.0
1720234723.7575636,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.757563,0.0,0.0,False,False,0.0
1720234723.7618003,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.761800,0.0,0.0,False,False,0.0
1720234723.7655983,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.765598,0.0,0.0,False,False,0.0
1720234723.7935722,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.793572,0.0,0.0,False,False,0.0
1720234723.801565,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.801564,0.0,0.0,False,False,0.0
1720234723.805925,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.805924,0.0,0.0,False,False,0.0
1720234723.8140247,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.814024,0.0,0.0,False,False,0.0
1720234723.8376703,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.837670,0.0,0.0,False,False,0.0
1720234723.841943,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.841943,0.0,0.0,False,False,0.0
1720234723.865682,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.865681,0.0,0.0,False,False,0.0
1720234723.8776002,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.877600,0.0,0.0,False,False,0.0
1720234723.8816235,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.881623,0.0,0.0,False,False,0.0
1720234723.8936002,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.893600,0.0,0.0,False,False,0.0
1720234723.9138296,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.913829,0.0,0.0,False,False,0.0
1720234723.9176855,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.917685,0.0,0.0,False,False,0.0
1720234723.9215648,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.921564,0.0,0.0,False,False,0.0
1720234723.957578,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.957577,0.0,0.0,False,False,0.0
1720234723.9616327,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.961632,0.0,0.0,False,False,0.0
1720234723.965644,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.965643,0.0,0.0,False,False,0.0
1720234723.9935694,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.993569,0.0,0.0,False,False,0.0
1720234723.9975395,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:43.997539,0.0,0.0,False,False,0.0
1720234724.0015426,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:44.001542,0.0,0.0,False,False,0.0
1720234724.013789,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:44.013788,0.0,0.0,False,False,0.0
1720234724.0376313,,,0.0,0.0,0.0,16.700000762939453,2024-07-05 19:58:44.037631,0.0,0.0,False,False,0.0
1720234724.041601,,,0.0,0.0,0.0625,16.700000762939453,2024-07-05 19:58:44.041600,0.0,0.0,False,False,0.0
1720234724.0657449,,,0.0,0.0,0.0625,16.700000762939453,2024-07-05 19:58:44.065744,0.0,0.0,False,False,0.0
1720234724.0775762,,,0.0,0.0,0.0625,16.700000762939453,2024-07-05 19:58:44.077576,0.0,0.0,False,False,0.0
1720234724.081592,,,0.0,0.0,0.0625,16.700000762939453,2024-07-05 19:58:44.081592,0.0,0.0,False,False,0.0
1720234724.0935805,,,0.0,0.0,0.0625,16.700000762939453,2024-07-05 19:58:44.093580,0.0,0.0,False,False,0.0
1720234724.1136756,,,0.0,0.0,0.0625,16.700000762939453,2024-07-05 19:58:44.113675,0.0,0.0,False,False,0.0
1720234724.117624,,,0.0,0.0,0.0625,16.700000762939453,2024-07-05 19:58:44.117624,0.0,0.0,False,False,0.0
1720234724.121562,,,0.0,0.0,0.0625,16.700000762939453,2024-07-05 19:58:44.121562,0.0,0.0,False,False,0.0
1720234724.1616085,,,0.0,0.0,0.0625,16.700000762939453,2024-07-05 19:58:44.161608,0.0,0.0,False,False,0.0
