time,lat,long,vel,acc,rel_vel,rel_pos,date_time,acc_change,vel_change,is_oscillating,is_wave,num_oscillations,wave_id
1724623541.547875,37.792655,-122.263121,22.68663215637207,0.0,1.625,57.70000076293945,2024-08-25 15:05:41.547874,4.229999870061874,-6.232639312744141,True,True,1.0,0.0
1724623542.8480072,37.792498,-122.26293916666668,22.790800094604492,-0.25,0.9375,58.70000076293945,2024-08-25 15:05:42.848007,4.039999870583415,-6.089408874511719,True,True,2.0,0.0
1724623544.1476915,37.79234433333333,-122.26276166666666,23.29427146911621,0.7999999523162842,4.0,21.5,2024-08-25 15:05:44.147691,4.549999833106995,-4.978300094604492,False,True,2.0,0.0
1724623545.44742,37.792191833333334,-122.26258483333334,24.179689407348633,1.2599999904632568,3.625,27.100000381469727,2024-08-25 15:05:45.447419,4.9699998795986176,-2.317707061767578,False,True,2.0,0.0
1724623546.7477305,37.792040666666665,-122.2624085,25.12152862548828,1.0199999809265137,2.75,31.399999618530273,2024-08-25 15:05:46.747730,4.919999897480011,-0.4079856872558594,False,True,2.0,0.0
1724623548.047624,37.79189183333333,-122.26222716666666,25.134550094604492,0.1299999952316284,2.375,34.60000228881836,2024-08-25 15:05:48.047624,5.179999887943268,0.23003578186035156,False,True,2.0,0.0
1724623549.347644,37.79174583333333,-122.262039,25.572917938232425,0.3499999940395355,2.25,38.0,2024-08-25 15:05:49.347644,5.099999904632568,0.7074661254882848,False,True,2.0,0.0
1724623550.6481483,37.79159583333333,-122.26184583333334,26.072050094604492,0.209999993443489,1.875,40.70000076293945,2024-08-25 15:05:50.648148,5.049999877810478,1.7838554382324219,False,True,2.0,0.0
1724623551.9478176,37.79144016666667,-122.26164883333334,26.65364646911621,0.8700000047683716,1.375,42.60000228881836,2024-08-25 15:05:51.947817,5.529999941587448,3.3029518127441406,False,True,2.0,0.0
1724623553.247839,37.790449,-122.26001166666668,27.165800094604492,0.9799999594688416,-0.375,42.60000228881836,2024-08-25 15:05:53.247838,4.429999947547913,4.266492843627933,False,True,2.0,0.0
1724623555.3477972,37.79033033333333,-122.2597375,27.96441078186035,0.0199999995529651,-3.625,38.79999923706055,2024-08-25 15:05:55.347797,4.979999911040068,5.277778625488281,False,True,2.0,0.0
1724623556.6472125,37.79021983333333,-122.25945216666666,28.60677146911621,0.4199999868869781,-3.875,34.10000228881836,2024-08-25 15:05:56.647212,5.129999898374081,5.815971374511719,False,True,2.0,0.0
1724623557.947666,37.790119,-122.259155,29.249134063720703,0.0599999986588954,-4.0625,29.200000762939453,2024-08-25 15:05:57.947665,4.439999934285879,5.954862594604492,False,True,2.0,0.0
1724623559.2472148,37.79002633333333,-122.2588485,30.056425094604492,0.7999999523162842,-2.875,24.700000762939453,2024-08-25 15:05:59.247214,4.719999849796295,5.876735687255859,False,True,2.0,0.0
1724623560.547546,37.7899435,-122.25853166666668,30.928821563720703,1.319999933242798,-4.6875,19.30000114440918,2024-08-25 15:06:00.547545,4.999999821186067,5.807292938232422,False,True,2.0,0.0
1724623561.8473308,37.789872,-122.2582045,31.349828720092773,0.1099999994039535,-3.625,26.100000381469727,2024-08-25 15:06:01.847330,5.319999769330026,6.215278625488281,True,True,3.0,0.0
1724623563.1476047,37.78980933333333,-122.2578675,31.41059112548828,0.0299999993294477,-3.8125,20.700000762939453,2024-08-25 15:06:03.147604,5.179999770596624,5.837673187255856,False,True,3.0,0.0
1724623564.447419,37.7897505,-122.25752216666666,31.276042938232425,-0.3499999940395355,-3.6875,15.800000190734863,2024-08-25 15:06:04.447418,5.419999763369561,5.203992843627933,False,True,3.0,0.0
1724623565.747677,37.7896925,-122.25717316666666,31.02430725097656,-0.1700000017881393,-2.5625,12.100000381469728,2024-08-25 15:06:05.747677,4.939999744296075,4.370660781860348,False,True,3.0,0.0
1724623567.0478282,37.7896325,-122.25682333333332,30.86805725097656,0.2199999988079071,-50.125,206.6000061035156,2024-08-25 15:06:07.047828,5.219999790191651,3.7022571563720668,False,True,3.0,0.0
1724623568.3476534,37.789572666666665,-122.25647333333332,30.66840362548828,-0.3199999928474426,10.625,206.6000061035156,2024-08-25 15:06:08.347653,4.799999821931125,2.7039928436279297,False,True,3.0,0.0
1724623569.647738,37.78951466666667,-122.25612433333332,30.43402862548828,0.1499999910593032,-63.625,79.70000457763672,2024-08-25 15:06:09.647737,4.8699998185038575,1.8272571563720703,False,True,3.0,0.0
1724623570.9479074,37.789457166666665,-122.25577633333332,30.264759063720703,-0.25,-58.1875,94.5,2024-08-25 15:06:10.947907,4.909999821335078,1.015625,False,True,3.0,0.0
1724623572.2479043,37.7894,-122.25542983333334,30.182292938232425,-0.1199999973177909,-6.4375,137.6999969482422,2024-08-25 15:06:12.247904,4.299999870359898,0.12586784362793324,False,True,3.0,0.0
1724623573.5472448,37.789342166666664,-122.25508566666667,30.12152862548828,0.0099999997764825,-56.75,80.4000015258789,2024-08-25 15:06:13.547244,3.909999886527657,-0.8072929382324219,False,True,3.0,0.0
1724623574.8476934,37.789284333333335,-122.2547435,30.060766220092773,0.2999999821186065,-6.375,124.5,2024-08-25 15:06:14.847693,2.9899999350309368,-1.2890625,False,True,3.0,0.0
1724623576.1480134,37.7892255,-122.25440266666666,30.000001907348633,0.0499999970197677,-7.8125,109.5999984741211,2024-08-25 15:06:16.148013,3.1599999200552698,-1.4105892181396484,False,True,3.0,0.0
1724623577.2067523,37.788702666666666,-122.25207566666668,29.96527862548828,-0.0999999940395355,-14.375,90.4000015258789,2024-08-25 15:06:17.206752,2.9299999177455898,-1.3107643127441442,False,True,3.0,0.0
