time,lat,long,vel,acc,rel_vel,rel_pos,date_time,acc_change,vel_change,is_oscillating,is_wave,num_oscillations,wave_id
1726891994.247411,37.6241825,-122.42810666666666,22.93402862548828,-1.079999923706055,3.375,24.0,2024-09-20 21:13:14.247411,6.10999978147447,-6.072050094604492,True,True,1.0,0.0
1726891995.2470906,37.6243905,-122.42823183333331,22.252605438232425,-0.7699999809265137,4.125,27.899999618530273,2024-09-20 21:13:15.247090,6.209999728947878,-6.336805343627926,True,True,2.0,0.0
1726891996.2470105,37.62459966666667,-122.42835016666666,21.705730438232425,-0.209999993443489,4.375,32.70000076293945,2024-09-20 21:13:16.247010,5.3499997444450855,-5.707466125488278,False,True,2.0,0.0
1726891997.247101,37.6248085,-122.4284665,21.46701431274414,-0.2599999904632568,4.3125,37.70000076293945,2024-09-20 21:13:17.247101,4.109999779611826,-5.190973281860352,False,True,2.0,0.0
1726891998.2467847,37.62501066666667,-122.42858266666668,21.484376907348633,-0.4399999976158142,4.125,42.29999923706055,2024-09-20 21:13:18.246784,3.7599998153746133,-4.474824905395508,False,True,2.0,0.0
1726891999.2470143,37.6252185,-122.42869033333334,21.45833396911621,0.1400000005960464,5.4375,48.29999923706055,2024-09-20 21:13:19.247014,3.3699998371303086,-4.0364589691162145,False,True,2.0,0.0
1726892000.247177,37.62541816666667,-122.42879966666666,21.53211975097656,0.0499999970197677,5.25,53.900001525878906,2024-09-20 21:13:20.247176,3.129999849945307,-3.4895820617675817,False,True,2.0,0.0
1726892001.2473068,37.62561683333333,-122.42890016666666,21.66232681274414,0.0399999991059303,5.1875,59.79999923706055,2024-09-20 21:13:21.247306,2.8699998576194057,-2.973091125488285,False,True,2.0,0.0
1726892002.2471635,37.6258155,-122.42896866666666,21.814237594604492,-0.0599999986588954,3.75,64.5999984741211,2024-09-20 21:13:22.247163,2.32999986037612,-2.4956588745117188,False,True,2.0,0.0
1726892003.246945,37.62599783333334,-122.42904766666666,22.02256965637207,0.5799999833106995,4.25,69.80000305175781,2024-09-20 21:13:23.246944,2.969999842345715,-1.888021469116211,False,True,2.0,0.0
1726892004.2471044,37.626186,-122.42910083333334,22.18316078186035,0.0,5.0,75.30000305175781,2024-09-20 21:13:24.247104,3.0999998971819878,-0.7508678436279297,False,True,2.0,0.0
1726892005.2473042,37.62639166666666,-122.42911816666668,22.37847328186035,0.3400000035762787,3.4375,79.80000305175781,2024-09-20 21:13:25.247304,3.1299999579787254,0.12586784362792613,False,True,2.0,0.0
1726892006.2470162,37.626596166666666,-122.429124,22.46961975097656,0.0,3.875,14.5,2024-09-20 21:13:26.247016,2.9099999740719795,0.7638893127441335,False,True,2.0,0.0
1726892007.247107,37.62679383333333,-122.429115,22.51302146911621,-0.0799999982118606,3.5625,19.30000114440918,2024-09-20 21:13:27.247107,2.939999975264072,1.0460071563720703,False,True,2.0,0.0
1726892008.2472074,37.626987166666666,-122.42909133333332,22.578126907348633,0.0799999982118606,3.9375,23.0,2024-09-20 21:13:28.247207,2.919999964535236,1.09375,False,True,2.0,0.0
1726892019.2470806,37.628796333333334,-122.42757516666668,23.854167938232425,0.6299999952316284,3.125,18.100000381469727,2024-09-20 21:13:39.247080,2.889999963343143,2.3958339691162145,False,True,2.0,0.0
1726892020.2471066,37.62892083333333,-122.42736916666668,24.21441078186035,0.5299999713897705,-2.875,124.70000457763672,2024-09-20 21:13:40.247106,2.8999999836087222,2.6822910308837926,False,True,2.0,0.0
1726892021.246817,37.62903933333333,-122.42716316666667,24.626737594604492,-0.199999988079071,-0.375,128.6999969482422,2024-09-20 21:13:41.246817,3.6199999451637264,2.9644107818603516,False,True,2.0,0.0
1726892022.2473493,37.62915233333333,-122.42694983333334,24.92621612548828,1.0099999904632568,0.875,132.10000610351562,2024-09-20 21:13:42.247349,4.729999925941229,3.111978530883789,False,True,2.0,0.0
1726892023.2469823,37.629268333333336,-122.42673333333332,25.38628578186035,0.3899999856948852,4.1875,141.60000610351562,2024-09-20 21:13:43.246982,4.7099999487400055,3.3637161254882812,False,True,2.0,0.0
1726892024.2467735,37.629376666666666,-122.42650566666669,25.74652862548828,0.209999993443489,5.4375,148.60000610351562,2024-09-20 21:13:44.246773,4.309999957680702,3.5633678436279297,False,True,2.0,0.0
1726892025.2470922,37.629489,-122.42627316666666,26.23263931274414,0.5199999809265137,3.8125,96.5,2024-09-20 21:13:45.247092,4.279999941587448,3.854166030883789,False,True,2.0,0.0
1726892026.2469783,37.6295995,-122.42603783333334,26.73177146911621,0.5899999737739563,3.625,101.20000457763672,2024-09-20 21:13:46.246978,4.009999930858612,4.262151718139652,False,True,2.0,0.0
1726892027.24733,37.6297065,-122.42579583333334,27.22222328186035,0.3199999928474426,3.1875,105.3000030517578,2024-09-20 21:13:47.247329,4.199999913573265,4.709201812744141,False,True,2.0,0.0
1726892028.2467732,37.629813,-122.42554916666668,27.764759063720703,0.0,2.625,108.5999984741211,2024-09-20 21:13:48.246773,4.359999909996986,5.18663215637207,False,True,2.0,0.0
1726892029.2473643,37.62992716666667,-122.42529766666668,28.242189407348633,0.0499999970197677,2.25,111.20000457763672,2024-09-20 21:13:49.247364,3.8599999099969864,4.388021469116207,False,True,2.0,0.0
1726892030.2471082,37.630037333333334,-122.42504383333332,28.663196563720703,0.5,1.875,113.5999984741211,2024-09-20 21:13:50.247108,4.209999889135361,4.448785781860352,False,True,2.0,0.0
