date_time,time,lat,long,vel,acc,rel_vel,rel_pos,tfs,acc_change,vel_change,is_oscillating,is_wave,num_oscillations,wave_id
2025-06-17 01:05:00.229453564,1750122300.2294536,37.694342,-122.14359266666666,19.61123634105932,-1.132844372672337,-2.547070780911341,62.866356751984625,75.489973784,4.656386423019981,-6.097970263216439,True,True,1.0,0.0
2025-06-17 01:05:01.429301023,1750122301.429301,37.694214833333334,-122.143409,19.051343389947604,-0.6100980247353394,-2.0,60.365797018029355,76.689821243,4.893846458082969,-6.591019204656888,True,True,2.0,0.0
2025-06-17 01:05:02.629500389,1750122302.6295004,37.69409483333333,-122.1432355,18.66195687489549,-0.22295419997786342,-1.609169154468413,59.165248777513554,77.890020609,4.8988289138105445,-7.090526461517367,True,True,3.0,0.0
2025-06-17 01:05:03.829776287,1750122303.8297763,37.693978666666666,-122.14306866666666,18.280565388714784,-0.5420699249576206,-1.9214251278141536,57.0,79.090296507,4.802714702483377,-7.729859538989771,True,True,4.0,0.0
2025-06-17 01:05:05.028621197,1750122305.0286212,37.69386566666667,-122.14290416666668,17.994411123637178,0.16259063228343065,-2.826558353733367,53.75018764351503,80.289141417,4.879909133225377,-8.088591179415033,True,True,5.0,0.0
2025-06-17 01:05:06.228924513,1750122306.2289245,37.69375516666667,-122.14274283333332,17.817634736478453,-0.20743950280671203,-3.5625,49.633138625903946,81.489444733,5.2395701061849485,-8.15787803670814,True,True,6.0,0.0
2025-06-17 01:05:07.429788113,1750122307.429788,37.693646666666666,-122.142584,17.39014516457482,-0.7583941696672194,-3.514550997782705,45.07426184226581,82.690308333,5.347212438736349,-8.563996207845499,True,True,7.0,0.0
2025-06-17 01:05:08.628794193,1750122308.6287942,37.693538333333336,-122.142428,16.465501834059875,-0.5489264527908511,-3.077108272988157,40.96964777945456,83.889314413,4.962561949623885,-9.476479074934172,True,True,8.0,0.0
2025-06-17 01:05:09.829717398,1750122309.8297174,37.693430666666664,-122.14227433333332,15.453803380146905,-0.8098118757420839,-2.875,36.97454641480399,85.090237618,5.144219094350029,-10.44998889477516,True,True,9.0,0.0
2025-06-17 01:05:11.029152632,1750122311.0291526,37.69332433333334,-122.1421225,14.594694672192501,-0.5375499414090739,-2.625,33.37320685079322,86.289672852,5.312455809232027,-11.113573506075673,True,True,10.0,0.0
2025-06-17 01:05:12.236213446,1750122312.2362134,37.69322183333333,-122.14197566666668,13.742708610829682,-0.7798856220152457,-2.125,30.453661267374127,87.496733666,4.992991116199808,-11.273644170194165,True,True,11.0,0.0
2025-06-17 01:05:13.429392338,1750122313.4293923,37.69312433333333,-122.141835,12.914269926932366,-0.6616460742315121,-1.8596883706415643,27.972722711838486,88.689912558,4.6378640429221445,-10.799569110890623,True,True,12.0,0.0
2025-06-17 01:05:14.629247427,1750122314.6292474,37.693031,-122.14169933333334,12.160287991442148,-0.5597758769441221,-0.9375,26.399999618530273,89.889767647,4.603718007126324,-10.01166109535283,True,True,13.0,0.0
2025-06-17 01:05:15.829833269,1750122315.8298333,37.69294216666667,-122.1415695,11.646114369545767,0.015418147959487705,0.125,26.200000762939453,91.090353489,4.873105156695433,-9.057698669335945,True,True,14.0,0.0
2025-06-17 01:05:17.029154301,1750122317.0291543,37.69285766666667,-122.14144633333332,11.992188453674316,0.21227997538253923,0.625,26.92409604956419,92.289674521,4.8317676090305,-7.619047887385005,True,True,15.0,0.0
2025-06-17 01:05:18.230760098,1750122318.23076,37.692777166666666,-122.14132916666668,12.223155306439457,0.2948627403274088,0.625,27.73434143640543,93.491280318,4.391604026038372,-6.828188083508147,True,True,16.0,0.0
2025-06-17 01:05:19.431996584,1750122319.4319966,37.69270083333333,-122.14121866666666,12.45185224401145,0.050124719757545344,0.125,28.200000762939453,94.692516804,4.249198221850759,-6.210104630884041,True,True,17.0,0.0
2025-06-17 01:05:20.629950285,1750122320.6299503,37.692628166666665,-122.141114,12.380307997706154,-0.06117988941537053,-1.9677002706831739,26.835841052644124,95.890470505,4.041387106043918,-5.90025739100863,False,True,17.0,0.0
2025-06-17 01:05:21.829605818,1750122321.8296058,37.692557666666666,-122.14101283333332,12.307193435216437,-0.07872150892898377,-1.375,26.06493401282703,97.090126038,3.35426816831648,-5.687217688420741,False,True,17.0,0.0
2025-06-17 01:05:23.028591633,1750122323.0285916,37.69248616666667,-122.14090916666666,11.916205903925793,-0.5524887236544636,-3.451567844387193,22.94048344586883,98.289111853,3.4580052479518173,-5.901428832552661,False,True,17.0,0.0
2025-06-17 01:05:24.929699659,1750122324.9296997,37.69197833333333,-122.14016983333332,10.501068366383196,-1.6425830771259773,-4.015369571598116,14.236861128155628,100.190219879,3.9971449345628236,-6.889076798191626,True,True,18.0,0.0
2025-06-17 01:05:26.130701779,1750122326.1307018,37.69191516666667,-122.140077,8.016716450951263,-2.070367510071194,-1.7292673324464962,11.113745044344597,101.391221999,4.215461650631672,-8.448785383108612,True,True,19.0,0.0
2025-06-17 01:05:27.329830885,1750122327.329831,37.691863166666664,-122.14000033333332,5.882768134810783,-1.3694731004729324,-0.125,10.100000381469728,102.590351105,4.6554706372787,-9.571035245336121,True,True,20.0,0.0
2025-06-17 01:05:28.529805183,1750122328.5298052,37.69182283333333,-122.13994033333331,5.0069845144938006,-0.23185707052895396,0.375,10.300000190734863,103.790325403,5.520824732889669,-9.587710157698702,True,True,21.0,0.0
