time,lat,long,vel,acc,rel_vel,rel_pos,date_time
1724365738.2445836,37.744161166666665,-122.19932116666666,25.577259063720703,0.3999999761581421,1.0,58.20000076293945,2024-08-22 15:28:58.244583
1724365739.7383945,37.7454905,-122.200499,25.82465362548828,-0.0799999982118606,0.9375,59.70000076293945,2024-08-22 15:28:59.738394
1724365741.5443268,37.745683166666666,-122.200669,26.002605438232425,0.1400000005960464,1.625,43.400001525878906,2024-08-22 15:29:01.544326
1724365742.8441226,37.745876333333335,-122.2008395,26.15451431274414,0.1199999973177909,2.0,46.20000076293945,2024-08-22 15:29:02.844122
1724365744.1442928,37.74607116666667,-122.20101083333331,26.42795181274414,0.0,1.875,48.900001525878906,2024-08-22 15:29:04.144292
1724365745.4442658,37.746267333333336,-122.20118316666668,26.60590362548828,0.8700000047683716,1.625,50.79999923706055,2024-08-22 15:29:05.444265
1724365746.744266,37.746464333333336,-122.20135666666668,26.72309112548828,0.3100000023841858,1.25,52.29999923706055,2024-08-22 15:29:06.744266
1724365748.0445204,37.74666216666667,-122.20153233333332,26.72743225097656,-0.0099999997764825,0.75,52.900001525878906,2024-08-22 15:29:08.044520
1724365749.344658,37.74685983333333,-122.20170833333331,26.72309112548828,-0.3400000035762787,0.375,53.29999923706055,2024-08-22 15:29:09.344657
1724365750.6444662,37.74705766666666,-122.201885,26.64930725097656,-0.6299999952316284,0.125,53.20000076293945,2024-08-22 15:29:10.644466
1724365751.9442306,37.74725566666667,-122.20206216666666,26.72743225097656,0.209999993443489,0.5,54.20000076293945,2024-08-22 15:29:11.944230
1724365753.244689,37.747454833333336,-122.20223816666666,26.931425094604492,0.2899999916553497,3.3125,57.70000076293945,2024-08-22 15:29:13.244688
1724365754.5444703,37.747653666666665,-122.20241266666666,27.37847328186035,0.2399999946355819,-0.875,62.400001525878906,2024-08-22 15:29:14.544470
1724365755.8443997,37.74785266666667,-122.20258683333331,27.530384063720703,-0.1799999922513961,-2.375,60.20000076293945,2024-08-22 15:29:15.844399
1724365757.1442769,37.748052333333334,-122.20276283333334,27.26128578186035,-0.0099999997764825,-2.25,58.5,2024-08-22 15:29:17.144276
1724365758.4444904,37.748253,-122.20294166666666,26.80989646911621,-0.209999993443489,-1.875,56.60000228881836,2024-08-22 15:29:18.444490
1724365759.7442868,37.748455666666665,-122.20312133333331,26.475696563720703,-0.3299999833106994,-1.5625,54.900001525878906,2024-08-22 15:29:19.744286
1724365761.0448349,37.748661166666665,-122.203301,26.19357681274414,-0.6499999761581421,-1.4375,53.10000228881836,2024-08-22 15:29:21.044834
1724365762.3443818,37.748866166666666,-122.20347983333332,25.924480438232425,0.0799999982118606,-1.4375,51.20000076293945,2024-08-22 15:29:22.344381
1724365763.644598,37.74906933333333,-122.20365816666668,25.494792938232425,-0.3899999856948852,-1.6875,48.900001525878906,2024-08-22 15:29:23.644598
1724365764.844547,37.75041983333333,-122.20486933333332,24.65711975097656,-1.3600000143051147,-4.0625,44.79999923706055,2024-08-22 15:29:24.844547
1724365766.944434,37.750601833333334,-122.205025,22.15711975097656,-0.550000011920929,-2.5625,38.900001525878906,2024-08-22 15:29:26.944433
1724365768.244154,37.7507725,-122.20517466666666,21.34982681274414,-0.5699999928474426,-2.0625,36.0,2024-08-22 15:29:28.244153
1724365769.5444283,37.750936833333334,-122.20531983333332,20.564237594604492,-0.4899999797344208,-1.4375,34.0,2024-08-22 15:29:29.544428
1724365770.8445623,37.751095666666664,-122.2054615,19.84375,-0.6699999570846558,-1.625,31.899999618530273,2024-08-22 15:29:30.844562
1724365772.144701,37.751251333333336,-122.20559816666666,19.0625,-0.5099999904632568,-1.875,29.899999618530273,2024-08-22 15:29:32.144701
1724365773.4443386,37.75140233333333,-122.2057305,18.21180725097656,-0.6899999976158142,-1.625,27.600000381469727,2024-08-22 15:29:33.444338
1724365774.744643,37.751548666666665,-122.20585833333334,17.35677146911621,-0.7699999809265137,-1.625,25.700000762939453,2024-08-22 15:29:34.744642
1724365776.044536,37.75168933333333,-122.20598233333334,16.54513931274414,-0.4799999892711639,-0.75,24.600000381469727,2024-08-22 15:29:36.044536
1724365777.3448598,37.75182733333333,-122.20610166666668,15.72482681274414,-0.4699999988079071,0.1875,24.399999618530273,2024-08-22 15:29:37.344859
1724365778.6442168,37.75196033333334,-122.206217,15.282118797302246,-0.0099999997764825,1.25,25.700000762939453,2024-08-22 15:29:38.644216
1724365779.9443588,37.7520885,-122.20632716666668,15.625000953674316,0.4599999785423279,1.5,27.80000114440918,2024-08-22 15:29:39.944358
1724365781.24442,37.752213833333336,-122.20643366666668,15.989583969116213,0.25,1.625,30.100000381469727,2024-08-22 15:29:41.244420
1724365782.5447488,37.752332333333335,-122.20653733333332,16.37152862548828,0.3400000035762787,1.6875,32.5,2024-08-22 15:29:42.544748
1724365783.844052,37.752446,-122.20663833333332,16.66232681274414,0.3100000023841858,1.8125,35.10000228881836,2024-08-22 15:29:43.844052
1724365785.1444864,37.7525615,-122.20673866666668,16.883682250976562,0.2399999946355819,1.75,37.400001525878906,2024-08-22 15:29:45.144486
1724365786.4441872,37.75267866666667,-122.20684166666666,16.90972328186035,0.0999999940395355,1.25,39.0,2024-08-22 15:29:46.444187
1724365787.7442424,37.752798,-122.20694716666668,16.94878578186035,0.2199999988079071,0.8125,39.900001525878906,2024-08-22 15:29:47.744242
1724365788.8443377,37.753670166666666,-122.2077135,16.953125,0.0299999993294477,0.25,40.10000228881836,2024-08-22 15:29:48.844337
1724365790.944526,37.753795833333335,-122.20782466666668,16.84027862548828,-0.0799999982118606,-0.5625,40.400001525878906,2024-08-22 15:29:50.944525
1724365792.244391,37.75391966666667,-122.20793333333332,16.58420181274414,-0.3499999940395355,-1.5,38.400001525878906,2024-08-22 15:29:52.244390
1724365793.54458,37.75404366666667,-122.20803266666668,15.768229484558104,-0.8899999856948853,-1.8125,35.79999923706055,2024-08-22 15:29:53.544579
1724365794.844593,37.75417366666667,-122.20813616666666,14.539931297302246,-0.8299999833106995,-1.625,32.900001525878906,2024-08-22 15:29:54.844593
1724365796.1444457,37.754294333333334,-122.20824,13.67621612548828,-0.5699999928474426,-1.3125,31.0,2024-08-22 15:29:56.144445
1724365797.444438,37.754407,-122.20834033333334,12.977431297302246,-0.5,-1.125,29.30000114440918,2024-08-22 15:29:57.444437
1724365798.74434,37.75451433333333,-122.20843433333332,12.25694465637207,-0.6200000047683716,-1.0,27.80000114440918,2024-08-22 15:29:58.744339
1724365800.044349,37.75461683333333,-122.20852316666668,11.284722328186035,-0.5999999642372131,-0.5,26.700000762939453,2024-08-22 15:30:00.044348
1724365801.344603,37.754715166666664,-122.208609,10.99826431274414,-0.1199999973177909,-0.5625,26.0,2024-08-22 15:30:01.344603
1724365802.644356,37.754810166666665,-122.20869133333332,10.672743797302246,-0.209999993443489,-0.625,25.0,2024-08-22 15:30:02.644356
1724365803.9439695,37.7548995,-122.20877,10.37326431274414,-0.1799999922513961,-0.375,24.399999618530273,2024-08-22 15:30:03.943969
1724365805.244609,37.75498433333333,-122.20884533333331,10.047743797302246,-0.2999999821186065,-0.5,23.700000762939453,2024-08-22 15:30:05.244609
1724365806.5444434,37.755067,-122.20891816666666,9.78732681274414,-0.3199999928474426,-0.3125,23.200000762939453,2024-08-22 15:30:06.544443
1724365807.844576,37.75514733333333,-122.2089895,9.43576431274414,-0.4899999797344208,-0.375,22.700000762939453,2024-08-22 15:30:07.844575
